Team,Color,Image
Sunrisers Hyderabad,#FF822A,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\srh.png
Mumbai Indians,#004bA0,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\mi.png
Gujarat Lions,#E04F16,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\gi.png
Royal Challengers Bangalore,#EC1C24,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\rcb.png
Kolkata Knight Riders,#2E0854,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\kkr.jpg
Delhi Daredevils,#00008B,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\dd.png
Kings XI Punjab,#ED1B24,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\kxip.png
Chennai Super Kings,#FFFF3C,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\csk.png
Rajasthan Royals,#254AA5,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\rr.png
Deccan Chargers,#366293,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\dc.png
Kochi Tuskers Kerala,#7F3F98,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\ktk.png
Pune Warriors,#2F9BE3,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\pw.png
Rising Pune Supergiants,#D11D9B,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\rps.jpg
Delhi Capitals,#00008B,C:\Users\gourisep5474\OneDrive - ARCADIS\My Docs\Projects\IPL-PowerBI\images\dc.jpg
